id,legacy,battery_mv,upper_chameleon_ohms,lower_chameleon_ohms,upper_temperature_celcius,lower_temperature_celcius,smt_vwc_raw,smt_temperature_raw,upper_chameleon_centibar,lower_chameleon_centibar,smt_vwc_percentage,smt_temperature_celcius,upper_chameleon_raw_channel_a,upper_chameleon_raw_channel_b,lower_chameleon_raw_channel_a,lower_chameleon_raw_channel_b
P1,False,4127.0,2258.8376273217496,12911.534154535271,13.5,14.0,81.0,152.0,13.921369009730633,67.3140803498275,26.12903225806452,9.03225806451613,646.0,1023.0,513.0,380.0
P1,False,4098.0,1341.4634146341464,14070.588235294115,13.625,14.125,80.0,151.0,10.213304727534622,74.2795392817305,25.806451612903224,8.70967741935484,853.0,951.0,509.0,341.0
P1,False,4102.0,1335.1800554016622,14650.602409638554,13.625,14.25,82.0,155.0,10.188010069722676,77.93287492104918,26.4516129032258,10.0,853.0,952.0,509.0,321.0
P1,False,4124.0,1341.4634146341464,14415.27446300716,13.8125,14.3125,81.0,153.0,10.241428558715413,76.61634869818026,26.12903225806452,9.35483870967742,853.0,951.0,511.0,327.0
P1,False,4094.0,1328.90365448505,14155.844155844155,13.875,14.4375,82.0,155.0,10.20008870702084,75.2522935674667,26.4516129032258,10.0,854.0,952.0,509.0,338.0
P1,False,4121.0,1328.90365448505,14213.017751479292,13.9375,14.5,82.0,156.0,10.209467005768104,75.68808841474262,26.4516129032258,10.32258064516128,854.0,952.0,508.0,337.0
P1,False,4121.0,1328.90365448505,14328.180737217595,14.0625,14.625,82.0,156.0,10.228275434881386,76.56834082794377,26.4516129032258,10.32258064516128,854.0,952.0,507.0,334.0
P1,False,4091.0,1341.4634146341464,14561.824729891956,14.1875,14.6875,82.0,157.0,10.298143452800836,78.07442211753425,26.4516129032258,10.64516129032258,854.0,950.0,508.0,325.0
P1,False,4115.0,1322.6342003320422,14473.684210526317,14.5,14.9375,82.0,158.0,10.26908565690989,77.92512993012573,26.4516129032258,10.96774193548387,855.0,952.0,508.0,328.0
P1,False,4119.0,1322.6342003320422,14213.017751479292,14.6875,15.0625,82.0,158.0,10.29772471425594,76.534340245508,26.4516129032258,10.96774193548387,855.0,952.0,508.0,337.0
P1,False,4118.0,1322.6342003320422,14473.684210526317,14.8125,15.125,81.0,159.0,10.3169063293072,78.21339194273287,26.12903225806452,11.290322580645151,856.0,951.0,508.0,328.0
P1,False,4114.0,1322.6342003320422,14710.144927536232,14.9375,15.3125,81.0,160.0,10.33615953706424,79.9517893635758,26.12903225806452,11.61290322580645,856.0,951.0,508.0,320.0
P1,False,4102.0,1691.4285714285716,13598.615916955016,15.0,15.375,80.0,159.0,11.868099675742622,73.28353283212127,25.806451612903224,11.290322580645151,727.0,1023.0,513.0,354.0
P1,False,4116.0,1310.116086235489,14769.97578692494,15.1875,15.5,81.0,160.0,10.323299725617144,80.6151805492698,26.12903225806452,11.61290322580645,857.0,952.0,508.0,318.0
P1,False,4106.0,1310.116086235489,14561.824729891956,15.4375,15.5625,81.0,161.0,10.362113881330316,79.42952313040163,26.12903225806452,11.93548387096774,858.0,951.0,508.0,325.0
P1,False,4107.0,1310.116086235489,14532.374100719424,15.5625,15.75,81.0,162.0,10.381630617162914,79.53887866812298,26.12903225806452,12.25806451612903,857.0,952.0,508.0,326.0
P1,False,4111.0,1310.116086235489,14650.602409638554,15.8125,15.875,80.0,161.0,10.420885477965331,80.46562860001974,25.806451612903224,11.93548387096774,858.0,951.0,508.0,322.0
P1,False,4110.0,1291.390728476821,14299.287410926368,16.0,16.0625,80.0,161.0,10.372411231954793,78.57891887953826,25.806451612903224,11.93548387096774,860.0,952.0,508.0,334.0
P1,False,4089.0,1291.390728476821,14444.444444444443,16.25,16.1875,81.0,164.0,10.411883393126804,79.67109935619213,26.12903225806452,12.9032258064516,860.0,952.0,508.0,329.0
P1,False,4121.0,1291.390728476821,14444.444444444443,16.4375,16.3125,81.0,165.0,10.44168523040734,79.8642338518588,26.12903225806452,13.2258064516129,860.0,952.0,508.0,329.0
P1,False,4100.0,1291.390728476821,14502.994011976049,16.625,16.5,81.0,166.0,10.471658160450056,80.52066777127912,26.12903225806452,13.548387096774182,861.0,951.0,508.0,327.0
P1,False,4079.0,1291.390728476821,14650.602409638554,16.875,16.6875,81.0,167.0,10.511890767817942,81.741310380216,26.12903225806452,13.87096774193548,861.0,951.0,508.0,322.0
P1,False,4099.0,1285.1627137341425,14502.994011976049,17.0625,16.8125,81.0,168.0,10.515858712341917,81.00686284176753,26.12903225806452,14.19354838709677,862.0,951.0,509.0,326.0
P1,False,4120.0,1285.1627137341425,14502.994011976049,17.3125,16.9375,81.0,168.0,10.556531462555206,81.20159265971878,26.12903225806452,14.19354838709677,862.0,951.0,508.0,327.0
P1,False,4119.0,1285.1627137341425,14710.144927536232,17.5625,17.125,81.0,169.0,10.5975200587336,82.80942760994307,26.12903225806452,14.516129032258052,862.0,951.0,507.0,321.0
P1,False,4085.0,1278.941565600882,14769.97578692494,17.75,17.25,80.0,170.0,10.601802972346595,83.389466960691,25.806451612903224,14.83870967741935,863.0,951.0,507.0,319.0
P1,False,4100.0,1272.7272727272723,14680.33775633293,18.1875,17.5625,81.0,171.0,10.647718093781636,83.31267792781568,26.12903225806452,15.16129032258064,864.0,951.0,507.0,322.0
P1,False,4120.0,1285.1627137341425,14920.82825822168,18.4375,17.75,81.0,172.0,10.743521280730754,85.16128210137158,26.12903225806452,15.48387096774193,863.0,950.0,508.0,313.0
P1,False,4098.0,1272.7272727272723,14860.267314702309,18.625,17.9375,80.0,172.0,10.721269999678675,85.07196020262015,25.806451612903224,15.48387096774193,865.0,950.0,509.0,314.0
P1,False,4085.0,1260.3192074848653,14502.994011976049,18.875,18.0625,80.0,172.0,10.709611190604248,82.96063561500306,25.806451612903224,15.48387096774193,865.0,952.0,508.0,327.0
P1,False,4119.0,1266.5198237885463,15042.839657282742,19.25,18.4375,80.0,174.0,10.800866996383338,87.07514931157303,25.806451612903224,16.129032258064502,866.0,950.0,508.0,309.0
P1,False,4081.0,1272.7272727272723,14561.824729891956,19.5,18.5625,79.0,172.0,10.871464992264173,84.12954216437251,25.48387096774193,15.48387096774193,865.0,950.0,509.0,324.0
P1,False,4117.0,1254.125412541254,14830.09708737864,19.6875,18.75,79.0,172.0,10.821937441469489,86.18585772053119,25.48387096774193,15.48387096774193,867.0,951.0,508.0,316.0
P1,False,4120.0,1266.5198237885463,15197.04433497537,19.9375,18.9375,80.0,176.0,10.920582422447552,88.91892088635065,25.806451612903224,16.7741935483871,866.0,950.0,508.0,304.0
P1,False,4120.0,1260.3192074848653,15228.113440197289,20.0625,19.0625,80.0,177.0,10.915042708845869,89.33384400574512,25.806451612903224,17.09677419354838,867.0,950.0,508.0,303.0
P1,False,4108.0,1651.4806378132118,13171.007927519817,22.5625,21.4375,79.0,183.0,13.200243670541717,79.27050209622838,25.48387096774193,19.032258064516128,733.0,1023.0,520.0,363.0
P1,False,4082.0,1247.9384277075317,15384.615384615385,22.6875,21.5625,79.0,184.0,11.340759606195997,94.62940495399408,25.48387096774193,19.35483870967742,871.0,948.0,509.0,297.0
