device_name,cellnumber,batt_mv,uptime_s,chmln_top_ohms,chmln_bot_ohms,ds18b20_top_temp_c,ds18b20_bot_temp_c,smt_vwc_raw,smt_temp_raw,date_created_utc
S1,0493541641,4136,50,1379.31,1923.077,16.3125,16.4375,56,159,"2022-10-12  07:23:23"
S1,0493541641,4136,50,1379.31,1923.077,16.3125,16.4375,56,159,"2022-10-12  07:23:25"
S1,0493541641,4141,674,1023.707,2771.536,16.25,16.3125,57,158,"2022-10-12  07:34:17"
S1,0493541641,4137,1295,1035.599,2755.611,16.25,16.375,58,160,"2022-10-12  07:45:09"
S1,0493541641,4144,1917,1035.599,2755.611,16.25,16.3125,57,160,"2022-10-12  07:56:13"
S1,0493541641,4136,2550,1035.599,2755.611,16.25,16.375,57,160,"2022-10-12  08:07:04"
S1,0493541641,4141,3172,1035.599,2739.726,16.25,16.3125,57,160,"2022-10-12  08:18:07"
S1,0493541641,4133,4447,1035.599,2739.726,16.1875,16.25,57,160,"2022-10-12  08:40:10"
S1,0493541641,4140,5068,1035.599,2739.726,16.1875,16.25,57,158,"2022-10-12  08:51:02"
S1,0493541641,4136,5690,1047.516,2723.881,16.125,16.1875,57,160,"2022-10-12  09:01:56"
S1,0493541641,4127,6319,1047.516,2723.881,16.0625,16.25,57,160,"2022-10-12  09:12:52"
S1,0493541641,4138,6948,1047.516,2723.881,16.0625,16.25,57,160,"2022-10-12  09:23:51"
S1,0493541641,4137,7569,1047.516,2708.074,16,16.1875,57,159,"2022-10-12  09:34:54"
S1,0493541641,4125,8208,1047.516,2708.074,16,16.1875,57,160,"2022-10-12  09:45:50"
S1,0493541641,4126,8829,1047.516,2708.074,15.9375,16.125,57,159,"2022-10-12  09:56:42"
S1,0493541641,4124,9463,1047.516,2692.308,15.875,16.125,57,158,"2022-10-12  10:07:57"
S1,0493541641,4134,10097,1059.459,2692.308,15.875,16.0625,57,159,"2022-10-12  10:18:49"
S1,0493541641,4134,10718,1059.459,2692.308,15.875,16.125,57,159,"2022-10-12  10:29:40"
S1,0493541641,4123,11340,1059.459,2692.308,15.8125,16.0625,57,157,"2022-10-12  10:40:31"
S1,0493541641,4126,11961,1059.459,2676.58,15.8125,16,57,159,"2022-10-12  10:51:22"
S1,0493541641,4132,12583,1083.424,2692.308,15.8125,16,63,159,"2022-10-12  11:02:25"
S1,0493541641,4126,13216,1143.791,2708.074,15.625,16,75,158,"2022-10-12  11:13:28"
S1,0493541641,4127,13849,1095.445,2692.308,15.375,16.0625,76,158,"2022-10-12  11:24:31"
S1,0493541641,4129,14489,1083.424,2676.58,15.4375,16,76,157,"2022-10-12  11:35:30"
S1,0493541641,4130,15111,1083.424,2692.308,15.25,15.9375,76,158,"2022-10-12  11:46:21"
S1,0493541641,4129,15732,1143.791,2692.308,15,15.8125,76,157,"2022-10-12  11:57:12"
S1,0493541641,4129,16353,1192.56,2708.074,14.8125,15.6875,76,156,"2022-10-12  12:08:03"
S1,0493541641,4118,16980,1229.418,2708.074,14.6875,15.5625,77,155,"2022-10-12  12:19:12"
S1,0493541641,4115,17626,1278.942,2708.074,14.5625,15.375,77,155,"2022-10-12  12:30:15"
S1,0493541641,4127,18248,1291.391,2708.074,14.4375,15.1875,77,155,"2022-10-12  12:41:07"
S1,0493541641,4115,18869,1291.391,2708.074,14.375,15,77,155,"2022-10-12  12:51:58"
S1,0493541641,4125,19491,1278.942,2723.881,14.375,14.875,77,154,"2022-10-12  13:02:49"
S1,0493541641,4117,20112,1266.52,2723.881,14.375,14.8125,77,154,"2022-10-12  13:13:52"
S1,0493541641,4124,20745,1266.52,2723.881,14.375,14.75,77,155,"2022-10-12  13:24:55"
S1,0493541641,4123,21379,1266.52,2723.881,14.4375,14.75,76,152,"2022-10-12  13:35:58"
S1,0493541641,4123,22019,1266.52,2708.074,14.375,14.6875,77,154,"2022-10-12  13:46:57"
S1,0493541641,4122,23287,1266.52,2708.074,14.5,14.75,77,155,"2022-10-12  14:09:04"
S1,0493541641,4110,23922,1266.52,2708.074,14.5,14.6875,77,155,"2022-10-12  14:20:21"
S1,0493541641,4114,24555,1266.52,2708.074,14.5625,14.75,76,152,"2022-10-12  14:31:24"
S1,0493541641,4112,25194,1266.52,2708.074,14.5625,14.75,77,155,"2022-10-12  14:42:33"
S1,0493541641,4112,25828,1266.52,2708.074,14.625,14.8125,77,153,"2022-10-12  14:53:25"
S1,0493541641,4120,26449,1254.125,2708.074,14.6875,14.8125,77,156,"2022-10-12  15:04:27"
S1,0493541641,4116,27083,1254.125,2692.308,14.75,14.875,77,156,"2022-10-12  15:15:19"
S1,0493541641,4108,27709,1254.125,2692.308,14.75,14.8125,77,155,"2022-10-12  15:26:16"
S1,0493541641,4108,28331,1254.125,2692.308,14.8125,14.9375,77,156,"2022-10-12  15:37:07"
